Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"KMI","KINDER MORGAN INC","Equity","0.15","20.58","14,907,415.00","306,794,600.70","306,794,600.70","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.15","94.08","3,221,708.00","303,098,288.64","303,098,288.64","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","0.15","95.14","3,180,730.00","302,614,652.20","302,614,652.20","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.15","53.07","5,700,015.00","302,499,796.05","302,499,796.05","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.15","152.77","1,979,324.00","302,381,327.48","302,381,327.48","Consumer Discretionary","B5B1S13","US2566771059","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.15","164.10","1,842,036.00","302,278,107.60","302,278,107.60","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.14","236.10","1,248,671.00","294,811,223.10","294,811,223.10","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"HCA","HCA HEALTHCARE INC","Equity","0.14","143.67","2,036,086.00","292,524,475.62","292,524,475.62","Health Care","B4MGBG6","US40412C1018","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.14","94.49","3,085,392.00","291,538,690.08","291,538,690.08","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"ROP","ROPER TECHNOLOGIES INC","Equity","0.14","351.94","800,297.00","281,656,526.18","281,656,526.18","Industrials","2749602","US7766961061","New York Stock Exchange Inc."
"F","FORD MOTOR CO","Equity","0.14","9.39","29,993,449.00","281,638,486.11","281,638,486.11","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","0.14","109.62","2,525,898.00","276,888,938.76","276,888,938.76","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.13","136.18","1,991,686.00","271,227,799.48","271,227,799.48","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.13","38.32","6,842,306.00","262,197,165.92","262,197,165.92","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.13","61.66","4,239,110.00","261,383,522.60","261,383,522.60","Information Technology","2257019","US1924461023","NASDAQ"
"DAL","DELTA AIR LINES INC","Equity","0.13","58.42","4,441,689.00","259,483,471.38","259,483,471.38","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.13","440.52","587,289.00","258,712,550.28","258,712,550.28","Consumer Discretionary","B65LWX6","US67103H1077","NASDAQ"
"NEM","NEWMONT GOLDCORP CORP","Equity","0.13","40.99","6,271,228.00","257,057,635.72","257,057,635.72","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.12","63.03","4,024,751.00","253,680,055.53","253,680,055.53","Utilities","2614807","US98389B1008","NASDAQ"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.12","40.60","6,120,084.00","248,475,410.40","248,475,410.40","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"IR","INGERSOLL RAND PLC","Equity","0.12","133.34","1,854,178.00","247,236,094.52","247,236,094.52","Industrials","B633030","IE00B6330302","New York Stock Exchange Inc."
"APH","AMPHENOL CORP CLASS A","Equity","0.12","107.79","2,283,130.00","246,098,582.70","246,098,582.70","Information Technology","2145084","US0320951017","New York Stock Exchange Inc."
"WELL","WELLTOWER INC","Equity","0.12","78.67","3,117,188.00","245,229,179.96","245,229,179.96","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"TEL","TE CONNECTIVITY LTD","Equity","0.12","95.21","2,568,222.00","244,520,416.62","244,520,416.62","Information Technology","B62B7C3","CH0102993182","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.12","52.38","4,623,210.00","242,163,739.80","242,163,739.80","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"PPG","PPG INDUSTRIES INC","Equity","0.12","133.25","1,816,335.00","242,026,638.75","242,026,638.75","Materials","2698470","US6935061076","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.12","206.18","1,155,718.00","238,285,937.24","238,285,937.24","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
