Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"PCRX","PACIRA BIOSCIENCES INC","Equity","0.25","45.57","2,577,622.00","117,462,234.54","117,462,234.54","Health Care","B3X26D8","US6951271005","NASDAQ"
"KAMN","KAMAN CORP","Equity","0.24","67.12","1,728,184.00","115,995,710.08","115,995,710.08","Industrials","2483223","US4835481031","New York Stock Exchange Inc."
"FCPT","FOUR CORNERS PROPERTY INC TRUST","Equity","0.24","27.38","4,236,460.00","115,994,274.80","115,994,274.80","Real Estate","BZ16HK0","US35086T1097","New York Stock Exchange Inc."
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Equity","0.24","25.17","4,557,142.00","114,703,264.14","114,703,264.14","Real Estate","BFFK0X2","US29670E1073","New York Stock Exchange Inc."
"XNCR","XENCOR INC","Equity","0.24","37.60","3,049,684.00","114,668,118.40","114,668,118.40","Health Care","BGCYWN8","US98401F1057","NASDAQ"
"BMI","BADGER METER INC","Equity","0.24","63.58","1,802,723.00","114,617,128.34","114,617,128.34","Information Technology","2069128","US0565251081","New York Stock Exchange Inc."
"PRGS","PROGRESS SOFTWARE CORP","Equity","0.24","41.39","2,769,245.00","114,619,050.55","114,619,050.55","Information Technology","2705198","US7433121008","NASDAQ"
"FIX","COMFORT SYSTEMS USA INC","Equity","0.24","50.06","2,282,043.00","114,239,072.58","114,239,072.58","Industrials","2036047","US1999081045","New York Stock Exchange Inc."
"KN","KNOWLES CORP","Equity","0.24","21.53","5,302,710.00","114,167,346.30","114,167,346.30","Information Technology","BJTD9L6","US49926D1090","New York Stock Exchange Inc."
"HOPE","HOPE BANCORP INC","Equity","0.24","15.20","7,509,802.00","114,111,441.39","114,111,441.39","Financials","BYN87K7","US43940T1097","NASDAQ"
"NYMT","NEW YORK MORTGAGE TRUST REIT INC","Equity","0.24","6.38","17,811,366.00","113,636,515.08","113,636,515.08","Financials","B01LWM7","US6496045013","NASDAQ"
"RWT","REDWOOD TRUST REIT INC","Equity","0.24","16.36","6,941,208.00","113,558,162.88","113,558,162.88","Financials","2730877","US7580754023","New York Stock Exchange Inc."
"CSGS","CSG SYSTEMS INTERNATIONAL INC","Equity","0.24","55.48","2,043,978.00","113,399,899.44","113,399,899.44","Information Technology","2210885","US1263491094","NASDAQ"
"EGHT","8X8 INC","Equity","0.24","18.40","6,151,653.00","113,190,415.20","113,190,415.20","Information Technology","2037170","US2829141009","New York Stock Exchange Inc."
"MLI","MUELLER INDUSTRIES INC","Equity","0.24","32.04","3,527,005.00","113,005,240.20","113,005,240.20","Industrials","2609717","US6247561029","New York Stock Exchange Inc."
"KALU","KAISER ALUMINIUM CORP","Equity","0.24","114.97","974,169.00","112,000,209.93","112,000,209.93","Materials","B15CJ33","US4830077040","NASDAQ"
"KTB","KONTOOR BRANDS INC","Equity","0.23","38.71","2,888,119.00","111,799,086.49","111,799,086.49","Consumer Discretionary","BJTJGC4","US50050N1037","New York Stock Exchange Inc."
"GPI","GROUP AUTOMOTIVE INC","Equity","0.23","103.43","1,080,707.00","111,777,525.01","111,777,525.01","Consumer Discretionary","2121352","US3989051095","New York Stock Exchange Inc."
"SHAK","SHAKE SHACK INC CLASS A","Equity","0.23","59.01","1,893,798.00","111,753,019.98","111,753,019.98","Consumer Discretionary","BV0LCR0","US8190471016","New York Stock Exchange Inc."
"GNL","GLOBAL NET LEASE INC","Equity","0.23","20.09","5,540,380.00","111,306,234.20","111,306,234.20","Real Estate","BZCFW78","US3793782018","New York Stock Exchange Inc."
"WABC","WESTAMERICA BANCORPORATION","Equity","0.23","67.42","1,640,857.00","110,626,578.94","110,626,578.94","Financials","2950374","US9570901036","NASDAQ"
"HSC","HARSCO CORP","Equity","0.23","22.27","4,946,052.00","110,148,578.04","110,148,578.04","Industrials","2412700","US4158641070","New York Stock Exchange Inc."
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.23","44.57","2,456,859.00","109,502,205.63","109,502,205.63","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"MNTA","MOMENTA PHARMACEUTICALS INC","Equity","0.23","17.75","6,115,841.00","108,556,177.75","108,556,177.75","Health Care","B018VB0","US60877T1007","NASDAQ"
"LTC","LTC PROPERTIES REIT INC","Equity","0.23","44.10","2,461,494.00","108,551,885.40","108,551,885.40","Real Estate","2498788","US5021751020","New York Stock Exchange Inc."
"SFBS","SERVISFIRST BANCSHARES INC","Equity","0.23","37.88","2,858,567.00","108,282,517.96","108,282,517.96","Financials","BMH0MP5","US81768T1088","NASDAQ"
"NBTB","NBT BANCORP INC","Equity","0.22","40.99","2,607,186.00","106,868,554.14","106,868,554.14","Financials","2626459","US6287781024","NASDAQ"
"BANR","BANNER CORP","Equity","0.22","57.64","1,845,797.00","106,391,739.08","106,391,739.08","Financials","2346003","US06652V2088","NASDAQ"
"CVCO","CAVCO INDUSTRIES INC","Equity","0.22","199.30","530,731.00","105,774,688.30","105,774,688.30","Consumer Discretionary","2787022","US1495681074","NASDAQ"
"OSIS","OSI SYSTEMS INC","Equity","0.22","100.56","1,049,630.00","105,550,792.80","105,550,792.80","Information Technology","2111579","US6710441055","NASDAQ"
"PRAA","PRA GROUP INC","Equity","0.22","37.24","2,825,619.00","105,226,051.56","105,226,051.56","Financials","BSHZ3P9","US69354N1063","NASDAQ"
"HUBG","HUB GROUP INC CLASS A","Equity","0.22","50.82","2,070,314.00","105,213,357.48","105,213,357.48","Industrials","2407632","US4433201062","NASDAQ"
"MATX","MATSON INC","Equity","0.22","39.52","2,661,515.00","105,183,072.80","105,183,072.80","Industrials","B8GNC91","US57686G1058","New York Stock Exchange Inc."
"MINI","MOBILE MINI INC","Equity","0.22","37.81","2,768,823.00","104,689,197.63","104,689,197.63","Industrials","2548177","US60740F1057","NASDAQ"
"ONTO","ONTO INNOVATION INC","Equity","0.22","34.55","3,026,859.00","104,577,978.45","104,577,978.45","Information Technology","BKZ7N95","US6833441057","New York Stock Exchange Inc."
"DRQ","DRIL QUIP INC","Equity","0.22","46.35","2,243,447.00","103,983,768.45","103,983,768.45","Energy","2116767","US2620371045","New York Stock Exchange Inc."
"MGLN","MAGELLAN HEALTH INC","Equity","0.22","77.25","1,345,426.00","103,934,158.50","103,934,158.50","Health Care","2307787","US5590792074","NASDAQ"
"AMWD","AMERICAN WOODMARK CORP","Equity","0.22","107.38","964,450.00","103,562,641.00","103,562,641.00","Industrials","2030674","US0305061097","NASDAQ"
"ROCK","GIBRALTAR INDUSTRIES INC","Equity","0.22","51.86","1,996,202.00","103,523,035.72","103,523,035.72","Industrials","2369226","US3746891072","NASDAQ"
"MMSI","MERIT MEDICAL SYSTEMS INC","Equity","0.22","30.19","3,418,698.00","103,210,492.62","103,210,492.62","Health Care","2580555","US5898891040","NASDAQ"
"KLIC","KULICKE AND SOFFA INDUSTRIES INC","Equity","0.22","26.26","3,928,779.00","103,169,736.54","103,169,736.54","Information Technology","2498001","US5012421013","NASDAQ"
"NWBI","NORTHWEST BANCSHARES INC","Equity","0.22","16.70","6,173,111.00","103,060,088.14","103,060,088.14","Financials","B523Z73","US6673401039","NASDAQ"
"DEA","EASTERLY GOVERNMENT PROPERTIES INC","Equity","0.21","22.93","4,413,776.00","101,207,883.68","101,207,883.68","Real Estate","BVSS693","US27616P1030","New York Stock Exchange Inc."
"WGO","WINNEBAGO INDUSTRIES INC","Equity","0.21","48.16","2,087,193.00","100,519,214.88","100,519,214.88","Consumer Discretionary","2972721","US9746371007","New York Stock Exchange Inc."
"CSII","CARDIOVASCULAR SYSTEMS INC","Equity","0.21","45.31","2,185,072.00","99,005,612.32","99,005,612.32","Health Care","B17HG57","US1416191062","NASDAQ"
"PSMT","PRICESMART INC","Equity","0.21","71.65","1,381,116.00","98,956,961.40","98,956,961.40","Consumer Staples","2092942","US7415111092","NASDAQ"
"AX","AXOS FINANCIAL INC","Equity","0.21","29.78","3,304,147.00","98,397,497.66","98,397,497.66","Financials","BGK38H3","US05465C1009","New York Stock Exchange Inc."
"EGBN","EAGLE BANCORP INC","Equity","0.20","47.77","2,030,505.00","96,997,223.85","96,997,223.85","Financials","2648055","US2689481065","NASDAQ"
"SBCF","SEACOAST BANKING OF FLORIDA","Equity","0.20","30.78","3,127,197.00","96,255,123.66","96,255,123.66","Financials","BH65L93","US8117078019","NASDAQ"
"KEM","KEMET CORP","Equity","0.20","26.60","3,594,854.00","95,623,116.40","95,623,116.40","Information Technology","2487612","US4883602074","New York Stock Exchange Inc."
"CATM","CARDTRONICS PLC CLASS A","Equity","0.20","41.66","2,272,952.00","94,691,180.32","94,691,180.32","Information Technology","BYT1841","GB00BYT18414","NASDAQ"
"ALRM","ALARM.COM HOLDINGS INC","Equity","0.20","41.96","2,252,924.00","94,532,691.04","94,532,691.04","Information Technology","BYN7H26","US0116421050","NASDAQ"
"BEAT","BIOTELEMETRY INC","Equity","0.20","45.00","2,099,491.00","94,477,095.00","94,477,095.00","Health Care","BCD7L64","US0906721065","NASDAQ"
"PFS","PROVIDENT FINANCIAL SERVICES INC","Equity","0.20","25.00","3,772,411.00","94,310,275.00","94,310,275.00","Financials","2171603","US74386T1051","New York Stock Exchange Inc."
"CTB","COOPER TIRE AND RUBBER","Equity","0.19","29.72","3,110,899.00","92,455,918.28","92,455,918.28","Consumer Discretionary","2222608","US2168311072","New York Stock Exchange Inc."
"IBP","INSTALLED BUILDING PRODUCTS INC","Equity","0.19","70.00","1,320,325.00","92,422,750.00","92,422,750.00","Consumer Discretionary","BJSP4C9","US45780R1014","New York Stock Exchange Inc."
"USPH","US PHYSICAL THERAPY INC","Equity","0.19","116.73","791,657.00","92,410,121.61","92,410,121.61","Health Care","2911166","US90337L1089","New York Stock Exchange Inc."
