Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"GWR","GENESEE & WYOMING INC CLASS A","Equity","0.35","111.34","1,631,859.00","181,691,181.06","181,691,181.06","Industrials","2374060","US3715591059","New York Stock Exchange Inc."
"CDAY","CERIDIAN HCM HOLDING INC","Equity","0.34","63.20","2,854,336.00","180,394,035.20","180,394,035.20","Information Technology","BFX1V56","US15677J1088","New York Stock Exchange Inc."
"BRX","BRIXMOR PROPERTY GROUP REIT INC","Equity","0.34","20.97","8,585,792.00","180,044,058.24","180,044,058.24","Real Estate","BFTDJL8","US11120U1051","New York Stock Exchange Inc."
"SABR","SABRE CORP","Equity","0.34","22.70","7,889,071.00","179,081,911.70","179,081,911.70","Information Technology","BLLHH27","US78573M1045","NASDAQ"
"SON","SONOCO PRODUCTS","Equity","0.34","61.63","2,884,849.00","177,793,243.87","177,793,243.87","Materials","2821395","US8354951027","New York Stock Exchange Inc."
"DNKN","DUNKIN BRANDS GROUP INC","Equity","0.34","74.27","2,384,422.00","177,091,021.94","177,091,021.94","Consumer Discretionary","B3LHT03","US2655041000","NASDAQ"
"CW","CURTISS WRIGHT CORP","Equity","0.33","142.79","1,231,750.00","175,881,582.50","175,881,582.50","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.33","90.44","1,923,550.00","173,965,862.00","173,965,862.00","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.33","242.36","717,259.00","173,834,891.24","173,834,891.24","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"MKSI","MKS INSTRUMENTS INC","Equity","0.33","109.94","1,570,603.00","172,672,093.82","172,672,093.82","Information Technology","2404871","US55306N1046","NASDAQ"
"HAE","HAEMONETICS CORP","Equity","0.33","117.98","1,463,508.00","172,664,673.84","172,664,673.84","Health Care","2401195","US4050241003","New York Stock Exchange Inc."
"PK","PARK HOTELS RESORTS INC","Equity","0.33","24.94","6,910,790.00","172,355,102.60","172,355,102.60","Real Estate","BYVMVV0","US7005171050","New York Stock Exchange Inc."
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Equity","0.33","95.91","1,780,860.00","170,802,282.60","170,802,282.60","Industrials","2516851","US5339001068","NASDAQ"
"SRCL","STERICYCLE INC","Equity","0.32","64.19","2,626,685.00","168,606,910.15","168,606,910.15","Industrials","2860826","US8589121081","NASDAQ"
"MDU","MDU RESOURCES GROUP INC","Equity","0.32","29.37","5,738,138.00","168,529,113.06","168,529,113.06","Utilities","2547323","US5526901096","New York Stock Exchange Inc."
"WSO","WATSCO INC","Equity","0.32","179.24","940,140.00","168,510,693.60","168,510,693.60","Industrials","2943039","US9426222009","New York Stock Exchange Inc."
"CUZ","COUSINS PROPERTIES REIT INC","Equity","0.32","39.78","4,230,637.00","168,294,739.86","168,294,739.86","Real Estate","BJP0MF6","US2227955026","New York Stock Exchange Inc."
"WH","WYNDHAM HOTELS RESORTS INC","Equity","0.32","60.37","2,779,752.00","167,813,628.24","167,813,628.24","Consumer Discretionary","BF108P4","US98311A1051","New York Stock Exchange Inc."
"LITE","LUMENTUM HOLDINGS INC","Equity","0.32","75.49","2,216,743.00","167,341,929.07","167,341,929.07","Information Technology","BYM9ZP2","US55024U1097","NASDAQ"
"PRI","PRIMERICA INC","Equity","0.32","137.34","1,207,271.00","165,806,599.14","165,806,599.14","Financials","B50K3X8","US74164M1080","New York Stock Exchange Inc."
"MAN","MANPOWER INC","Equity","0.32","96.08","1,724,969.00","165,735,021.52","165,735,021.52","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"PII","POLARIS INDUSTRIES INC","Equity","0.31","99.86","1,656,232.00","165,391,327.52","165,391,327.52","Consumer Discretionary","2692933","US7310681025","New York Stock Exchange Inc."
"SNV","SYNOVUS FINANCIAL CORP","Equity","0.31","39.05","4,224,346.00","164,960,711.30","164,960,711.30","Financials","BMH4NJ8","US87161C5013","New York Stock Exchange Inc."
"CASY","CASEYS GENERAL STORES INC","Equity","0.31","155.02","1,059,886.00","164,303,527.72","164,303,527.72","Consumer Staples","2179414","US1475281036","NASDAQ"
"JBL","JABIL INC","Equity","0.31","40.64","4,011,576.00","163,030,448.64","163,030,448.64","Information Technology","2471789","US4663131039","New York Stock Exchange Inc."
"NYCB","NEW YORK COMMUNITY BANCORP INC","Equity","0.31","11.97","13,472,311.00","161,263,562.67","161,263,562.67","Financials","2711656","US6494451031","New York Stock Exchange Inc."
"SKX","SKECHERS USA INC CLASS A","Equity","0.31","41.65","3,855,550.00","160,583,657.50","160,583,657.50","Consumer Discretionary","2428042","US8305661055","New York Stock Exchange Inc."
"CFR","CULLEN FROST BANKERS INC","Equity","0.31","97.68","1,643,591.00","160,545,968.88","160,545,968.88","Financials","2239556","US2298991090","New York Stock Exchange Inc."
"JBLU","JETBLUE AIRWAYS CORP","Equity","0.30","18.70","8,540,284.00","159,703,310.80","159,703,310.80","Industrials","2852760","US4771431016","NASDAQ"
"EXEL","EXELIXIS INC","Equity","0.30","18.20","8,731,669.00","158,916,375.80","158,916,375.80","Health Care","2576941","US30161Q1040","NASDAQ"
"WSM","WILLIAMS SONOMA INC","Equity","0.30","70.22","2,254,305.00","158,297,297.10","158,297,297.10","Consumer Discretionary","2967589","US9699041011","New York Stock Exchange Inc."
"JEF","JEFFERIES FINANCIAL GROUP INC","Equity","0.30","21.57","7,264,314.00","156,691,252.98","156,691,252.98","Financials","BG0Q4Z2","US47233W1099","New York Stock Exchange Inc."
"THG","HANOVER INSURANCE GROUP INC","Equity","0.30","137.13","1,140,198.00","156,355,351.74","156,355,351.74","Financials","2020415","US4108671052","New York Stock Exchange Inc."
"EV","EATON VANCE COM NON VOTING CORP","Equity","0.30","47.61","3,258,585.00","155,141,231.85","155,141,231.85","Financials","2301057","US2782651036","New York Stock Exchange Inc."
"IDA","IDACORP INC","Equity","0.29","106.63","1,452,762.00","154,908,012.06","154,908,012.06","Utilities","2296937","US4511071064","New York Stock Exchange Inc."
"EPR","EPR PROPERTIES REIT","Equity","0.29","68.51","2,235,684.00","153,166,710.84","153,166,710.84","Real Estate","B8XXZP1","US26884U1097","New York Stock Exchange Inc."
"AYI","ACUITY BRANDS INC","Equity","0.29","132.31","1,150,143.00","152,175,420.33","152,175,420.33","Industrials","2818461","US00508Y1029","New York Stock Exchange Inc."
"SNX","SYNNEX CORP","Equity","0.29","128.33","1,177,843.00","151,152,592.19","151,152,592.19","Information Technology","2002554","US87162W1009","New York Stock Exchange Inc."
